Date,Open,High,Low,Close,Adj Close,Volume
2012-04-03,14252.0,14968.0,14132.0,14552.0,14552.0,658
2012-04-04,15276.0,15632.0,14772.0,14908.0,14908.0,1020
2012-04-05,15248.0,15324.0,14828.0,15232.0,15232.0,505
2012-04-09,16144.0,16160.0,15560.0,16156.0,16156.0,728
2012-04-10,16272.0,17500.0,16036.0,17472.0,17472.0,1491
2012-04-11,16584.0,17140.0,16392.0,17036.0,17036.0,1344
2012-04-12,16812.0,16900.0,15504.0,15568.0,15568.0,1138
2012-04-13,15512.0,16452.0,15512.0,16440.0,16440.0,1062
2012-04-16,15848.0,16672.0,15692.0,16160.0,16160.0,1031
2012-04-17,15584.0,15644.0,15072.0,15276.0,15276.0,1044
2012-04-18,15412.0,15680.0,15088.0,15520.0,15520.0,1012
2012-04-19,15448.0,16076.0,15120.0,15644.0,15644.0,1660
2012-04-20,15288.0,15296.0,14948.0,15132.0,15132.0,1298
2012-04-23,15856.0,16192.0,15532.0,15620.0,15620.0,1414
2012-04-24,15564.0,15620.0,15240.0,15244.0,15244.0,859
2012-04-25,14628.0,14748.0,14260.0,14296.0,14296.0,1161
2012-04-26,14336.0,14376.0,13668.0,13792.0,13792.0,1292
2012-04-27,13720.0,14032.0,13648.0,13772.0,13772.0,903
2012-04-30,13952.0,14156.0,13852.0,14084.0,14084.0,1279
2012-05-01,14052.0,14072.0,13468.0,13644.0,13644.0,1045
2012-05-02,13944.0,14072.0,13628.0,13768.0,13768.0,804
2012-05-03,13660.0,14240.0,13560.0,14060.0,14060.0,658
2012-05-04,14204.0,14880.0,14172.0,14676.0,14676.0,1798
2012-05-07,15028.0,15064.0,14276.0,14444.0,14444.0,1095
2012-05-08,14736.0,15504.0,14508.0,14584.0,14584.0,2098
2012-05-09,15284.0,15592.0,14676.0,15148.0,15148.0,2904
2012-05-10,14700.0,14888.0,14484.0,14672.0,14672.0,1549
2012-05-11,15044.0,15060.0,14408.0,14860.0,14860.0,1145
2012-05-14,15504.0,15768.0,15304.0,15736.0,15736.0,2492
2012-05-15,15792.0,16580.0,15496.0,16544.0,16544.0,1989
2012-05-16,16280.0,17160.0,16000.0,17084.0,17084.0,2367
2012-05-17,16968.0,17924.0,16756.0,17924.0,17924.0,3137
2012-05-18,17800.0,19424.0,17692.0,19048.0,19048.0,4662
2012-05-21,18988.0,19236.0,16928.0,16972.0,16972.0,3692
2012-05-22,16756.0,18132.0,16012.0,17556.0,17556.0,2037
2012-05-23,18048.0,18600.0,17108.0,17276.0,17276.0,3843
2012-05-24,17152.0,18084.0,17056.0,17416.0,17416.0,2671
2012-05-25,17412.0,17496.0,17152.0,17232.0,17232.0,1433
2012-05-29,16700.0,17040.0,16340.0,16416.0,16416.0,1776
2012-05-30,16860.0,17524.0,16860.0,17524.0,17524.0,2878
2012-05-31,17660.0,18580.0,17176.0,17776.0,17776.0,2904
2012-06-01,19120.0,19332.0,18588.0,19284.0,19284.0,2791
2012-06-04,18884.0,19532.0,18448.0,18464.0,18464.0,2509
2012-06-05,18668.0,18700.0,17948.0,18056.0,18056.0,1587
2012-06-06,17508.0,17668.0,16740.0,16756.0,16756.0,2097
2012-06-07,15996.0,16676.0,15900.0,16572.0,16572.0,2872
2012-06-08,16676.0,16760.0,15664.0,15672.0,15672.0,1329
2012-06-11,15096.0,17032.0,15012.0,16968.0,16968.0,2351
2012-06-12,16868.0,17448.0,16592.0,16696.0,16696.0,2641
2012-06-13,17112.0,17820.0,16656.0,17544.0,17544.0,2348
2012-06-14,17412.0,17688.0,16444.0,16444.0,16444.0,2517
2012-06-15,16312.0,16528.0,15536.0,15756.0,15756.0,1851
2012-06-18,15648.0,15816.0,14384.0,14416.0,14416.0,3831
